actual,predicted,error
0.00604,-0.24259892782050407,0.24863892782050406
0.0417,-0.24259892782050407,0.2842989278205041
0.01268,-0.5308372958236625,0.5435172958236625
0.01807,-0.5308372958236625,0.5489072958236625
0.00779,0.5634307131002316,-0.5556407131002317
0.01282,0.17983919050781338,-0.1670191905078134
0.01429,0.17983919050781338,-0.1655491905078134
0.07825,-1.0142276563849713,1.0924776563849712
0.00407,-0.20165250069473362,0.2057225006947336
0.00835,-0.20165250069473362,0.2100025006947336
0.00835,-0.20165250069473362,0.2100025006947336
0.0246,-0.20165250069473362,0.22625250069473363
0.00251,-0.8879957745123708,0.8905057745123708
0.00251,-0.8879957745123708,0.8905057745123708
0.00579,-0.8879957745123708,0.8937857745123707
0.00733,-0.321367417504288,0.328697417504288
0.02595,-0.321367417504288,0.347317417504288
0.00302,-0.6389343823393512,0.6419543823393512
0.00806,-0.6389343823393512,0.6469943823393511
0.00386,-0.06775733690515384,0.07161733690515384
0.01034,-0.06775733690515384,0.07809733690515384
0.01034,-0.06775733690515384,0.07809733690515384
0.00769,-0.21779132081052843,0.22548132081052844
0.00382,-0.21779132081052843,0.22161132081052842
0.00796,-0.21779132081052843,0.22575132081052843
0.00943,-0.21779132081052843,0.22722132081052843
0.01752,2.729474996952817,-2.7119549969528167
0.00257,-0.1902765735354639,0.1928465735354639
0.01431,-0.1902765735354639,0.2045865735354639
0.00683,-0.1902765735354639,0.1971065735354639
0.03061,0.23275527946958396,-0.20214527946958397
0.00172,-1.5037912347654725,1.5055112347654724
0.00727,-1.5037912347654725,1.5110612347654726
0.02172,0.020077809164773974,0.0016421908352260255
0.04845,0.020077809164773974,0.028372190835226026
0.02092,-1.6305112594862532,1.6514312594862532
0.0106,-0.591170165343458,0.6017701653434581
0.03831,-0.591170165343458,0.629480165343458
0.00975,-0.591170165343458,0.600920165343458
0.05702,0.9139562920062643,-0.8569362920062643
0.03827,0.6674230299321657,-0.6291530299321657
0.00795,-2.949708316704255,2.957658316704255
0.006,0.4930970552115843,-0.4870970552115843
0.07967,0.050743161669331016,0.02892683833066899
0.01012,1.3541845221683886,-1.3440645221683887
0.01576,-1.2485891875944368,1.2643491875944368
0.07967,-0.22413966778977246,0.3038096677897725
0.0551,0.6460940001248223,-0.5909940001248223
0.0387,0.6968742607763829,-0.658174260776383
0.0425,3.0024465271816467,-2.9599465271816467
0.11,-0.23753521564319868,0.34753521564319867
0.3,0.33438224661983185,-0.03438224661983186
0.3,-7.990686213568857,8.290686213568858
0.55,0.0016027780814624748,0.5483972219185376
0.4,3.873566315712658,-3.473566315712658
0.3,1.4829816149565644,-1.1829816149565644
0.3,0.9675911202092884,-0.6675911202092883
0.3,4.403571747040104,-4.103571747040104
0.3,1.183078178501276,-0.883078178501276
0.25,-1.2929326341483645,1.5429326341483645
0.4,4.7979968689452015,-4.397996868945201
0.5567724999999999,1.824892422845167,-1.2681199228451672
0.35,15.487576680229012,-15.137576680229012
0.5567724999999999,0.6171440788636318,-0.06037157886363187
0.3,3.499374270262379,-3.1993742702623793
0.5567724999999999,-27.81516928270176,28.37194178270176
0.19,1.324972086371508,-1.134972086371508
0.26,125.73038246575913,-125.47038246575913
0.24,-2.8764058955339316,3.1164058955339318
0.3,-15.849102781442326,16.149102781442327
