actual,predicted,error
0.00604,0.14475793483922672,-0.13871793483922673
0.0417,0.14475793483922672,-0.10305793483922672
0.01268,0.7474541527442149,-0.7347741527442149
0.01807,0.7474541527442149,-0.7293841527442149
0.00779,-0.15014739491529738,0.15793739491529737
0.01282,0.467184543758588,-0.454364543758588
0.01429,0.467184543758588,-0.45289454375858795
0.07825,0.5958878176987881,-0.517637817698788
0.00407,-0.1330117816426699,0.1370817816426699
0.00835,-0.1330117816426699,0.1413617816426699
0.00835,-0.1330117816426699,0.1413617816426699
0.0246,-0.1330117816426699,0.15761178164266992
0.00251,-0.7599882461131937,0.7624982461131937
0.00251,-0.7599882461131937,0.7624982461131937
0.00579,-0.7599882461131937,0.7657782461131937
0.00733,-0.5145719385662391,0.521901938566239
0.02595,-0.5145719385662391,0.5405219385662391
0.00302,-0.1947124030613141,0.1977324030613141
0.00806,-0.1947124030613141,0.2027724030613141
0.00386,-0.030588520522077722,0.034448520522077725
0.01034,-0.030588520522077722,0.040928520522077724
0.01034,-0.030588520522077722,0.040928520522077724
0.00769,-0.2947302388146733,0.3024202388146733
0.00382,-0.2947302388146733,0.2985502388146733
0.00796,-0.2947302388146733,0.30269023881467333
0.00943,-0.2947302388146733,0.3041602388146733
0.01752,-0.7588298066878707,0.7763498066878707
0.00257,-0.10825399979940642,0.11082399979940642
0.01431,-0.10825399979940642,0.12256399979940642
0.00683,-0.10825399979940642,0.11508399979940642
0.03061,-0.37524353490045215,0.4058535349004522
0.00172,0.6246275839955313,-0.6229075839955313
0.00727,0.6246275839955313,-0.6173575839955313
0.02172,-0.04422521305641958,0.06594521305641958
0.04845,-0.04422521305641958,0.09267521305641957
0.02092,-0.8025439621503416,0.8234639621503417
0.0106,-0.6727109675344973,0.6833109675344974
0.03831,-0.6727109675344973,0.7110209675344973
0.00975,-0.6727109675344973,0.6824609675344974
0.05702,0.18980369699675093,-0.1327836969967509
0.03827,0.5363686843639854,-0.4980986843639854
0.00795,0.12353859631584463,-0.11558859631584463
0.006,-0.07200523255814595,0.07800523255814595
0.07967,-0.12342565616445356,0.20309565616445358
0.01012,-0.9871490412253081,0.9972690412253081
0.01576,-0.4697778196790825,0.4855378196790825
0.07967,-0.23103270747884874,0.31070270747884876
0.0551,0.7681332019736307,-0.7130332019736306
0.0387,0.27047192115497154,-0.23177192115497153
0.0425,-1.1466776901324778,1.1891776901324778
0.11,0.32859594347979737,-0.21859594347979738
0.3,0.040260449948153365,0.2597395500518466
0.3,-0.15658661732776125,0.45658661732776123
0.55,0.9625781219886669,-0.41257812198866683
0.4,1.095413333025128,-0.6954133330251281
0.3,0.9281521935656585,-0.6281521935656584
0.3,-0.266055601581904,0.566055601581904
0.3,0.09143500625198442,0.20856499374801557
0.3,0.5234385194863371,-0.22343851948633714
0.25,0.908009119879992,-0.658009119879992
0.4,0.07679504541524551,0.3232049545847545
0.5567724999999999,0.4315447719948722,0.12522772800512771
0.35,-0.3962273986959133,0.7462273986959133
0.5567724999999999,-0.25007368886596026,0.8068461888659602
0.3,0.8480519418389036,-0.5480519418389036
0.5567724999999999,1.4715618651764828,-0.9147893651764829
0.19,0.14142888279010535,0.048571117209894654
0.26,0.9368869840650405,-0.6768869840650404
0.24,0.48392495632641186,-0.24392495632641187
0.3,-0.13513587443438269,0.4351358744343827
